"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count"
"2";"69";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"The Trevali are huge I've seen Tiger sharks do the same thing with baby Albatross";"2022-09-29T11:36:10+0000";"0";"0"
"2";"70";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Amazing nature👍";"2022-09-29T12:33:21+0000";"0";"0"
"2";"71";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"evolution in progress";"2022-09-29T12:57:38+0000";"0";"0"
"2";"72";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Center  For Preparing & Qualifying Leaders Egypt المركز الدولــي لإعـــــداد وتأهيــل القـــادة مصر مرحباً بكم       welcome Please go to the program sectors links and choose your preferred program  يرجي الدخول علي روابط القطاعات البرامج واختيار البرنامج المفضل لك  سجل  الان  Register now   ثم متابعة الانتقال الي الربط    الشهادات الدولية           https://2u.pw/rQhYI     الشهادات الاستشارية       https://2u.pw/lwYpL    الشهادات الاحترافية         https://2u.pw/D0juR         الدبلومات التدريبية           https://2u.pw/95LfG                     الإدارة والقيادة              https://2u.pw/UQALs            العلوم المالية والمصرفية        https://2u.pw/aGwxZ   السكرتارية وإدارة المكاتب     https://2u.pw/yqZup   التعليم                   https://2u.pw/GODu6     البيئة                     https://2u.pw/eY0aI           الموارد البشرية         https://2u.pw/iMRU0                    المواصفات والجودة     https://2u.pw/4jckC               النفط والغاز               https://2u.pw/XKxQH        الامن والسلامه المهنية     https://2u.pw/SVLan          اللوجستيات                   https://2u.pw/i7AgP                     التنمية البشرية                      https://2u.pw/44wAD           التسويق والمبيعات               https://2u.pw/brSeM              التكنولوجيا والحاسب الالي    https://2u.pw/nC2fE                اللغات الترجمة     https://2u.pw/gLDQz                     الطاقة والكهرباء     https://2u.pw/nYoId                        الصحة               https://2u.pw/moagi              السلك الدبلوماسي والقتصلي    https://2u.pw/4jdmm     القانون والتحكيم الدولي           https://2u.pw/ErkhP           الصحافة والاعلام                https://2u.pw/Z0dnU                 السياحة والفنادق                  https://2u.pw/162Y7                     التامينات                           https://2u.pw/Wlqhl                                  إعداد القادة               https://2u.pw/qF7fx";"2022-09-29T13:00:45+0000";"0";"0"
"2";"73";"9";"1143803202301544_630787881742164";"offcut";"";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"";"";"";""
"2";"74";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"REPENT...REPENT...REPENT WE ARE LIVING IN THE ENDING OF THE LAST DAYS, SO REPENTS COMPLETELY ALL YOUR SINS AND PREPARE FOR THE RAPTURE...RAPTURE...RAPTURE! LORD GOD JESUS CHRIST CAME ON THIS WORLD TO DIED FOR US ON THE CROSS OF CALVARY IN ORDER TO SAVE US HUMANS FROM THE PUNISHMENT OF BEING PERISHED ETERNAL DAMNATION IN HELL AND GIVE US ETERNAL SALVATION TO ENTER HEAVEN IF WE COMPLETELY BELIEVE HIM, RECEIVE HIM, OBEY HIM BY OBEYING THE HOLLY WORD (BIBLE) AND SERVES HIM. NOW THE LORD GOD JESUS CHRIST IS REAL COMING VERY VERY VERY SOON FROM NOW ON TO RAPTURE THE CHURCH, VERY VERY SOON FROM NOW ON IT WILL BE THE END OF THE WORLD, READ IN THE HOLY BIBLE THE BOOKS OF...(Matthew 24:3-42)  (Luke 21:6-36)  (1 Thessalonians 4:16-18)...  REPENTS ALL YOUR SINS AND TURN AWAY COMPLETELY FROM THE LIFE OF SIN TODAY,  ACCEPT AND RECEIVE  LORD JESUS CHRIST IN YOUR LIFE, OBEY AND SERVE HIM, BE HOLY IN ALL THAT YOU DO, LIVE A COMPLETELY HOLINESS LIFE AND REPENTS YOUR SINS EVERYDAY IN ORDER TO BE RAPTURED BY THE LORD AND ESCAPE THE GREAT TRIBULATION) GREAT WRATH OF GOD THAT IS COMING TO FALL UPON THIS FALLEN EVIL WORLD AND EVERY MAN THAT ARE DYING ON THEIR SINS...  ⚪If you want to REPENT now and starting your salvation and walking with the LORD GOD JESUS CHRIST, HE's calling you today; he loves you so much... Say and pray along by faith this prayer of salvation as your season of walking with the LORD has come, REMEMBER YOU DON'T KNOW THE TIME THAT YOU WILL DIE AND LEAVE THIS EARTH TO FACE YOUR JUDGEMENT! AND ALSO NO BODY KNOWS THE DAY OR HOUR THAT THE LORD GOD JESUS CHRIST WILL APPEARS UP IN THE SKY TO RAPTURE THE CHURCH (Matthew 24:36-51) It can be next five minutes to come!, SAY AND PRAY THIS PRAYER OF REPENTANCE BY FAITH...  ⚪Father in the name of JESUS CHRIST today i have heard your words; I am confessing my sins, i know that I am a sinner, Father forgive me. Thank you for sending Jesus to die for me on the cross of calvary. Father, from today, I am receiving you as the Savoir and the Lord of my life. Thank you Jesus for giving me a Persistent Faith, a faith that will stand the test of time. Thank you for the Blood of Jesus. From today, I am your child; I am born again, thank you Holy Spirit for directing me today, in Jesus Christ name i pray,                     AMEN.  N.B: IF YOU PRAY THAT PRAYER BY FAITH AND IN GENUINELY FROM YOUR HEART, THEN LORD GOD JESUS CHRIST HAS FORGIVEN YOU AND YOU'ARE ALREADY A BORN AGAIN CHRISTIAN. WELCOME IN THE FAMILY OF GOD, MAKE SURE YOU'ARE FINDING A GODLY LIVING CHURCH AT WHERE YOU ARE AND JOIN THEM AND MAKE SURE YOU LIVE A HOLY AND RIGHTEOUS LIFE BY READING AND OBEYING GOD'S WORD (HOLLY BIBLE) EVERYDAY AND MAKE SURE YOU REPENT AND PRAY EVERYDAY. LORD JESUS CHRIST IS COMING, LORD JESUS CHRIST IS COMING, LORD JESUS CHRIST IS COMING... VERY VERY VERY SOON FROM NOW ON! THE SIGNS ARE EVERYWHERE AND TIME IS ALREADY FINISHED.";"2022-09-28T20:31:15+0000";"0";"0"
"2";"75";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Helena Bonham Carter is excellent in everything 🙌";"2022-09-28T20:32:23+0000";"17";"2"
"2";"76";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"Funny as";"2022-09-28T20:43:26+0000";"0";"0"
"2";"77";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"This is such a great series, loved it 💚";"2022-09-28T20:47:07+0000";"1";"0"
"2";"78";"10";"1143803202301544_630762878411331";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.497760";"Facebook:/<post-id>/comments";"""...5 would have been enough."" 😳😆🤣🤣🤣";"2022-09-28T21:43:12+0000";"4";"0"
